Incident_ID,Date,Department,Model,Sub_Assembly,Incident_Description
23-032,2023-02-01 00:00:00,Customer Service,ASR,,Customer has cranked both LH & RH footplates on a newer ASR2011. Claims not being abused or having too much weight or pressure applied. Replacement order O23-18148 for plasticom. Orig order # O22-16345
23-033,2023-02-01 00:00:00,Customer Service,,,"O22-16473 - parts order for a replacement axle. incorrect part number was ordered, should have been a standard vs wide glide. Replacement order O23-18152"
23-034,2023-02-02 00:00:00,Engineering,EHDO,Bike Accessories,EHDO with Eassist - Fork Wldt was not spec'd with Tab for torque arm so make-shift solution was required in Assembly.  This was a CAT3 order that appears not to have gone through engineering.  This needs to go through engineering until it can be standardized.   I will submit an FCR to standardize this option. 
23-035,2023-02-02 00:00:00,Customer Service,,,"P# 2012289 on/off reciprocator - two of the set screw holes on the pin flange p# 2412292 needed to be tapped to allow the setscrews to be installed, likely due to the weld bead too close to the threads.  I caught the issue before delivering to vendor and sucessfully tapped the holes."
23-036,2023-02-02 00:00:00,Customer Service,AS2000,Bike Seating,P# 2414330 - seat frame top weld failure. Seatframe replaced on O23-18105-W4N9.
23-037,2023-02-02 00:00:00,Customer Service,DCP16,Bike Seating,P# 2414330 - Seat frame top weld failure 
23-038,2023-02-02 00:00:00,Production,,Bike Seating,Lateral track extremely sticky - not gliding smoothly up and down even after I oiled it. every track is the same 
23-039,2023-02-02 00:00:00,assembly,,kitting,3 bolt stems not assembled properly on all bikes repeating issue
23-040,2023-02-06 00:00:00,Production,,, 2boxes of black parts left behind on paint run.
23-041,2023-02-07 00:00:00,shipping,,,3 bolt stem still occasionally coming back loose. Needing to tighten during inspection
23-042,2023-02-07 00:00:00,Production,Multiple,,"Kitting informed me of some painted UBars with paint chipping/lifting (new Red), potentially a paint vendor issue"
23-043,2023-02-07 00:00:00,Production,,,Scratches on new COC trays from plasticom 
23-044,2023-02-09 00:00:00,Production,Multiple,Bike Steering,"Weld on 3-bolt stem top plate large enough to prevent tool from seating on the 5/16x1"" bolt. Had difficulty tightening it properly."
23-045,nan,Production,Multiple,Bike Steering,"Weld slag inside ubar prevented 1-bolt stem from inserting fully. Needed to be reamed - delivered to fab for reaming. This is the third ubar to do this in 2 months, but I didn't write the other ones down."
23-046,nan,Production,DCP,,"Order does not list Rear Steer brake. Includes parking brake, LHS handlebar brake, and trainer."
23-047,2023-02-09 00:00:00,ASSEWMBLY,,,"PARTS NOT PUT ON KITTED BIKES/LAST 6 KITTED BIKES MISSING PARTS,PARTS HERE NOT KITTED"
23-048,2023-02-13 00:00:00,Production,DCP,Bike Drive Train,"Orders ask for ""large width, medium length"" footplates in notes. Part number for footplates is Large molded 2012044. These should be mediums, as there is no difference between large and medium widths, so if medium length is required, medium should be put on ticket."
23-049,2023-02-15 00:00:00,Shipping,ET,Bike Steering,Rear rider handlebar brakes hit against headrest when seat is fully extended and when seat is moved back towards rear rider. Tilted brakes downward to allow for more turning radius.
23-050,2023-02-16 00:00:00,assembly,ASR,,"multiple asr build sheets coming without inseam,last 6 asr"
23-051,2023-02-16 00:00:00,Shipping,,,Chalk marks not being cleaned off of chair covers
23-052,2023-02-16 00:00:00,fab,,,DCP Axles from MSP have deep gouges on the bent areas
23-053,2023-02-17 00:00:00,Production,DCP,,"if nameplate require do not use the word ""plaque"" these are two different things"
23-054,2023-02-17 00:00:00,Production,DCP,,"if order has custom decal pack do not duplicate decals with our in house decals, remove in house decals from order"
23-055,2023-02-17 00:00:00,Sales,DCP,,if the notes for an order say not to put decals on the bike remove the decals from the order as well as notating the desire for no decals
23-056,2023-02-21 00:00:00,assembly,as2600,,"all 2600 orderrs coming with park brake,theses cannot use parking brake wheels to big"
23-057,2023-02-21 00:00:00,Production,ET,Bike Steering,Tandem with headrest causes issue with rear driver steering. had to turn brake levers downward. Second tandem.
23-058,2023-02-21 00:00:00,Production,,Bike Accessories,"lateral track had weld splatter obstructing track movement, scraped the one side."
23-059,Feb 21 2023,,Multiple,Bike Frame,"Found 2 HRP 12"" ubar with paint and or handling damage"
23-060,2023-02-23 00:00:00,assembly,DCP,tie rods,Tie rod for DCP 3411273 is too long and is throwing the rear steer alingment off specially for the rigid forks
23-061,2023-02-27 00:00:00,Production,Multiple,Bike Steering,handlebar bolt was stripped on one bolt stem.
23-062,2/282023,Production,DCP,Bike Steering,rear steer handle .. not 90 degrees to the pivot arm
23-063,2023-03-02 00:00:00,Production,,,Glue on foam plugs not holding. Vita foam contacted and Crystal notified
23-064,2023-03-02 00:00:00,Production,Mini,Bike Steering,Tilt fork ratchet zip tied to ubar
23-065,2023-03-03 00:00:00,Shipping,,,Chalk marks consistently not being cleaned off chair fabric
23-066,2023-03-03 00:00:00,Customer Service,DCP,Bike Drive Train,"Quote request was for Med adjustable footplates, we entered order with small adj"
23-067,2023-03-03 00:00:00,Customer Service,,,"Nov 2022 we submitted an order for fabric cards for a vendor, customer paid to expidite freight. The order shipped Jan 20th 2023 with fabric cards for the old fabric, not the new. Replacement order O23-18245."
23-068,2023-03-03 00:00:00,Customer Service,DCP,Bike Frame,"Dunkin doughnuts bike built using standard orange frame, during order entry we did not enter as a customer color. I made a change to the order requesting the customer color, at this time the bike was already comeplete and needed to be re done"
23-069,2023-03-03 00:00:00,Engineering,DCP,Bike Seating,"DCP16 broken seat frame, parts order O23-18305"
23-070,2023-03-03 00:00:00,Customer Service,DCP,Bike Steering,"Mike rec'd order for Q18128 & flipped. Rene not realizing also entered the same order, and that order shipped with out being paid for. I have not asked for the extra part to be returned, not worth the freight. Old style tie rod, not a parts NCR issue."
23-071,2023-03-03 00:00:00,Production,ASR,Bike Steering,"Jaydene was delivering a new ASR2011, the front wheel was disconnected from the handlebars. Diag'd cause being a loose wedge bolt to the fork. Jaydene was able to get help fixing before delivering. "
23-072,2023-03-03 00:00:00,Customer Service,AS,Bike Seating,"Highback damaged during shipping, not documented as damaged. no freight claim. Repl parts order O23-18299"
23-073,2023-03-03 00:00:00,Customer Service,AS,Bike Accessories,"Customer recieved bike with damaged rear reflector, repl order O23-18319"
23-074,2023-03-03 00:00:00,Customer Service,DCP,Bike Seating,"DCP16 tbar was damaged during transit, seat will not move, no freight claim. Replacement parts order O23-18330"
23-075,2023-03-03 00:00:00,Customer Service,ASR,Bike Accessories,Snapped ratchet strap 
23-076,2023-03-03 00:00:00,Customer Service,AS,Bike Steering,Tie rod kit shipped with out nylock nuts or jam nuts. Tech did not realise until he was at the school and almost finished with the installation. He will now need to go back to complete the install once parts recieved. Repl parts order O23-18363
23-077,2023-03-03 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"COC was shipped with straps and strap pads, no buckles or 3pt pelvic pad was recieved with order. The SN photo can not confirm if the part was there or not. Repl order O23-18367"
23-078,2023-03-03 00:00:00,Customer Service,DCP,Bike Drive Train,"Bike built with mountian pedals, customer requested adjustables. Apparently was a verbal conversation which was undocumented. repl order O23-18385"
23-079,2023-03-03 00:00:00,Customer Service,EHDO,Bike Seating,"Bike was quoted and built with knobby and a standard seat base, Hal contacted me and says that it was supposed to be smooth pneumatic & a bench seat. Repl Parts order 023-18398"
23-080,2023-03-03 00:00:00,Customer Service,EHDO,Bike Drive Train,"In addition to the issue above, this defier was supposed to have a custom positioned twist shifter as per a conversation between Colin & Hal. The bike was shipped with out the custom positioning, still needs to be resolved. "
23-081,2023-03-03 00:00:00,Customer Service,DCP,Bike Drive Train,"Quote request was for an enclosed chain guard, we quoted and built an HD. Repl parts order O23-18400"
23-082,2023-03-03 00:00:00,Customer Service,DCP,,"Parts order was recieved damaged. Customer says one wheel was shipped with an axle going through it, and things thats what caused the damage. repl order O23-18412"
23-083,2023-03-03 00:00:00,Customer Service,,,"Parts order included qty 3 lg footplates, only 1 was shipped. Replacment order O23-18417"
23-084,2023-03-03 00:00:00,Customer Service,AS,Bike Accessories,Footplates hitting front wheel when turning - replacement order O23-18425
23-085,2023-03-06 00:00:00,Production,Chill-Out Chair,COC Foam,"Large triangle positioining cushions that Vita sent are 6""x6"" instead of 5""x5"" triangle"
3410319,2023-03-06 00:00:00,Production,,,All AS Narrow axles from MSP have not had the laser areas cleaned 
23-086,nan,,,,with scrap still attached
23-087,2023-03-06 00:00:00,Production,Multiple,Bike Drive Train,"Footplate Spacer parts orders dont specify what footplate style they are for, (the last 4 ive done). we need to know because it determines what hardware we send."
23-088,2023-09-03 00:00:00,Production,ASR,Bike Drive Train,ASR orders are pulling kit 2012027 for bottom brackets. But ASRs have the bottom bracket cartridge in the BOM. This kit should not appear on orders at all. 
23-089,2023-03-09 00:00:00,Customer Service,,,Customer had chain fall off prev repaired ET2611. Tech went out and installed new chain and aligned. 
23-099,2023-03-10 00:00:00,Production,Multiple,Bike Seating,Quick Releases are still not being tightened on select bikes. can move seat freely while quick releases are locked.
23-100,2023-03-10 00:00:00,Production,Multiple,Bike Drive Train,On/Off Threaded Flange has faded paint on 11 of them. Repainting in house.
23-101,2023-03-10 00:00:00,Customer Service,,,"Sold demo arrived with 1/4"" ratchet missing - sent replacement on O23-18515"
23-102,2023-03-10 00:00:00,Customer Service,,,Sold demo arrived with bent wheel - sent replacement on O23-18514
23-103,2023-03-10 00:00:00,Customer Service,,,Sold demo arrived with bent wheel and snapped fork tab - replacement parts order O23-18372
23-104,2023-03-13 00:00:00,Customer Service,,,Customer reports one footplate snapped in half. Repl parts order O23-18513
23-105,2023-03-13 00:00:00,Customer Service,,,"Vendor called, short shipped fork. Sent repl on O23-18530"
23-106,2023-03-13 00:00:00,Customer Service,,,O23-18516 - Order entered as a roller when it should have been a rocker. Unable to change order since submitted and can not change pricing to match. 
23-107,2023-03-14 00:00:00,Assembly,,, Dcp tie rod thread length incorrect. Too long to allow for proper rear steer alignment of handle.
23-108,2023-03-16 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"O23-17936 - Incorrect COC cover was quoted, ordered and shipped. The customer had emailed back after recieving the order confirmation after noticing the incorrect fabric was on the order and asked us to change the fabric, note was saved in notes and activities, however the change was never made and the COC was shipped with the incorrect fabric. The email thread will be saved as an image in the T: file. Replacement order O23-18577"
23-109,2023-03-17 00:00:00,Customer Service,AS,Bike Steering,Older model AS2000 reported a bent fork tab by Motion Mississauga - quoted replacement. 
23-110,2023-03-17 00:00:00,Customer Service,AS,Bike Steering,"Newer looking AS2000 fork tab snapped off, reported by Motion Mississauga -  no SN proviced. - Quoted repl"
23-111,2023-03-17 00:00:00,Customer Service,ET,Bike Accessories,"ET2611 was having intermittent electric assict issues, bikes power was cutting out at random times. Customer took the bike to a bike shop and after a long diagnostics was determined to have a short in the wiring harness. Replacement wiring harness on O23-18641"
23-112,2023-03-20 00:00:00,Customer Service,,,O22-17890 was shipped with UPS and according to tracking was delivered in January. Recieved an email from the branch manager asking where his parts order was. Person who signed for UPS package does not work at the branch. Replacement order O23-18606
23-113,2023-03-20 00:00:00,Customer Service,,,O22-18436 - UPS parts package recieved - box damaged and empty. 
23-114,2023-03-20 00:00:00,Customer Service,ASR,Bike Frame,"ASR16 SN2220942 - John @ Motion Hamilton contacted be as the head set was loosening off on an ASR16, also had a washer/ spacer which had sheered in two. I facetimed with John and determined the bikes whole frame was twisted, causing the top and bottom head tubes to be out of alignment and stressed. Repl frame on O23-18608."
23-115,2023-03-21 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Med roller was delvered and a few days later NSM notified that the trey had been damaged. Appears like a failure of the quick release and caused the tray to fall and get damaged. repl parts order O23-18624
23-116,2023-03-21 00:00:00,Customer Service,ASR,Bike Accessories,Customer reports a broken footplate. This footplate was set at a custom 30 degree angle and not using the typical mounting locations. Replacement order O23-18646
23-117,2023-03-22 00:00:00,Customer Service,AS,Bike Frame,Snapped spud on AS2000 - I am going to find a local repair shop.
23-118,2023-03-22 00:00:00,Customer Service,DCP,Bike Steering,Tie rod threadded rod pulled out of the front of a DCP tie rod. 2111250
23-119,2023-03-22 00:00:00,Customer Service,AS,Bike Steering,Snapped fork tab on demo during transit. Repl order O23-18657
23-120,2023-03-23 00:00:00,Customer Service,AS,Bike Accessories,"Customer ordered a rear platform however no hardware to install on the top bearing flange plates. I never looked at the kit in the component lookup before placing the order. The kit is the platform and a decal, no installation hardware is included in the kit. Can we update the platform kits to include the need install hardware? Replacement order O23-18242"
23-121,2023-03-23 00:00:00,Production,ASR,Bike Brakes,ASR Order states drag brake but no t-bar kit entry.
23-122,2023-03-27 00:00:00,Production,AS,Bike Drive Train,AS2600 order pulled both standard and enclosed chainguard types. Chantal confirmed customer ordered enclosed.
23-123,Mar 27 2023,Engineering,,,Prototype product rec'd and delivered to fab engineering not notified 
23-124,2023-03-27 00:00:00,Production,ASR,Bike Drive Train,"Configurator pulls BB 2012027 Kit for ASR's bottom bracket. Should not be a kit, should only be 5012054 in the BOM"
23-125,2023-03-28 00:00:00,Production,EHDO,Bike Drive Train,Configurator pulls BB 2012027 Kit for EHDO bottom bracket. Should not pull kit. should only be 5012054 in the BOM along with the EHDO BB Stem 2460436
23-126,2023-03-28 00:00:00,Engineering,Chill-Out Chair,COC Cover,"Yesterday, Top Stitch small ottoman cover did not fit a small ottoman plug (too loose), and it did not fit the large plug either (odd fit). I contacted Justin and his team will remedy this issue."
23-127,2023-03-28 00:00:00,Customer Service,ASR,Bike Drive Train,"2023 ASR2011's rear sprocket is spinning on the axle. I have sent repair instructions, this issue is likely resolved for this unit. "
23-128,2023-03-28 00:00:00,Production,DCP,Bike Steering,3611000 had to rethread a couple to make the nut work. randomly check parts bin in fab 3 out of 10 samples had the same problem. major diameter is correct. havnt check minor diameter 
23-129,2023-03-29 00:00:00,Customer Service,,,AS2000 sent with out rear steer - no on quote or order - still investigating cause
23-130,2023-03-31 00:00:00,Production,,,Email convo in manufacturing notes with no answer to the questions noted.  
23-131,2023-04-03 00:00:00,Production,DCP,Bike Steering,"Demo request stated rear steer was left off order and made to production, noticed at kitting "
